Id|CompanyID|SleeveName|Width|Height|BGGName
1|||||Arcane Tinmen sleeve size: [b][BGCOLOR=#FFE100]Mini - Yellow: Clear Gloss (AT-10405, 100/pack)[/BGCOLOR][/b]
2|||||[b][BGCOLOR=#FFE100]Non-Glare Matte (AT-10425, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
3|||||Arcane Tinmen sleeve size: [b][BGCOLOR=#E83F2A]Small - Red: Clear Gloss (AT-10404, 100/pack)[/BGCOLOR][/b]
4|||||[b][BGCOLOR=#E83F2A]Non-Glare Matte (AT-10424, 50/pack)[/BGCOLOR][/b] - (44 x 68mm)
5|||||Arcane Tinmen sleeve size: [b][BGCOLOR=#77B547]Medium - Green: Clear Gloss (AT-10403, 100/pack)[/BGCOLOR][/b]
6|||||[b][BGCOLOR=#77B547]Non-Glare Matte (AT-10423, 50/pack)[/BGCOLOR][/b] - (57 x 89mm)
7|||||Arcane Tinmen sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#918F94]Standard - Gray: Clear Gloss (AT-10406, 100/pack)[/BGCOLOR][/COLOR][/b]
8|||||[b][COLOR=#FFFFFF][BGCOLOR=#918F94]Non-Glare Matte (AT-10426, 50/pack)[/BGCOLOR][/COLOR][/b] - (63 x 88mm)
9|||||Arcane Tinmen sleeve size: [b][BGCOLOR=#35AAE1]Large - Blue: Clear Gloss (AT-10402, 100/pack)[/BGCOLOR][/b]
10|||||[b][BGCOLOR=#35AAE1]Non-Glare Matte (AT-10422, 50/pack)[/BGCOLOR][/b] - (59 x 92mm)
11|||||Arcane Tinmen sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#8F59A0]Extra Large - Purple: Clear Gloss (AT-10407, 100/pack)[/BGCOLOR][/COLOR][/b]
12|||||[b][COLOR=#FFFFFF][BGCOLOR=#8F59A0]Non-Glare Matte (AT-10427, 50/pack)[/BGCOLOR][/COLOR][/b] - (65 x 100mm)
13|||||Arcane Tinmen sleeve size: [b][BGCOLOR=#A16C38]Oversized - Brown: Clear Gloss (AT-10408, 100/pack)[/BGCOLOR][/b]
