Id|CompanyID|SleeveName|Width|Height|BGGName
92|6|Tarot - Orange: Standard|70|120|Docsmagic sleeve size: [b][BGCOLOR=#C86E22]70x120 Tarot - Orange: Standard (DMS09, 100/pack)[/BGCOLOR][/b]
93|6|Tarot - Orange: Premium|72|122|[b][BGCOLOR=#C86E22]Premium (DMS19, 50/pack)[/BGCOLOR][/b] - (72 x 122mm)
94|6|Magnum - Pink: Standard|80|120|Docsmagic sleeve size: [b][BGCOLOR=#FA4CF9]80x120 Magnum - Pink: Standard (DMS46, 100/pack)[/BGCOLOR][/b]
95|6|Magnum - Pink: Premium|82|122|[b][BGCOLOR=#FA4CF9]Premium (DMS45, 50/pack)[/BGCOLOR][/b] - (82 x 122mm)
96|6|French Tarot - Brown: Standard|61|112|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#A55323]61x112 French Tarot - Brown: Standard (DMS47, 100/pack)[/BGCOLOR][/COLOR][/b]
97|6|French Tarot - Brown: Premium|63|114|[b][COLOR=#FFFFFF][BGCOLOR=#A55323]Premium (DMS49, 50/pack)[/BGCOLOR][/COLOR][/b] - (63 x 114mm)
98|6|50x50 Square Size - Light Pink: Premium|52|52|Docsmagic sleeve size: [b][BGCOLOR=#DCA1E5]50x50 Square Size - Light Pink: Premium (DMS95, 50/pack)[/BGCOLOR][/COLOR][/b] - (52 x 52mm)
100|6|Square Size - Light Purple: Standard|70|70|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#814978]70x70 Square Size - Light Purple: Standard (DMS91, 100/pack)[/BGCOLOR][/COLOR][/b]
101|6|Square Size - Light Purple: Premium|72|72|[b][COLOR=#FFFFFF][BGCOLOR=#814978]Premium (DMS92, 100/pack)[/BGCOLOR][/COLOR][/b] - (72 x 72mm)
102|6|Square Size - Purple: Standard|80|80|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#512354]80x80 Square Size - Purple: Standard (DMS93, 100/pack)[/BGCOLOR][/COLOR][/b]
103|6|Square Size - Purple: Premium|82|82|[b][COLOR=#FFFFFF][BGCOLOR=#512354]Premium (DMS94, 50/pack)[/BGCOLOR][/COLOR][/b] - (82 x 82mm)
104|6|63.5x88 Mat Black - Black/White|66|91|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#000000]63.5x88 Mat Black - Black/White (DMS61, 50/pack)[/BGCOLOR][/COLOR][/b] - (66 x 91mm)
105|6|59x86 Mat Black - Black/Purple|62|89|Docsmagic sleeve size: [b][COLOR=#9900FF][BGCOLOR=#000000]59x86 Mat Black - Black/Purple (DMS71, 60/pack)[/BGCOLOR][/COLOR][/b] - (62 x 89mm)
106|6|67x92 Standard Soft - Black|67|92|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#000000]67x92 Standard Soft - Black (DMS01, 100/pack)[/BGCOLOR][/COLOR][/b] - (67 x 92mm)
107|6|4x6" Soft - Red: Standard|105|155|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#B51110]4x6 Soft - Red: Standard (DMS41, 100/pack)[/BGCOLOR][/COLOR][/b] - (105 x 155mm)
108|6|89x146 Kingdom Death  - Brown|91|148|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#652C1B]89x146 Kingdom Death  - Brown (DMS96, 50/pack)[/BGCOLOR][/COLOR][/b] - (91 x 148mm)
109|6|101x203 Kingdom Death - Dark Brown|103|205|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#3E160C]101x203 Kingdom Death - Dark Brown (DMS97, 50/pack)[/BGCOLOR][/COLOR][/b] - (103 x 205mm)
111|6|3x4" Premium Toploader - Black|76|102|Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#000000]3"x4" Premium Toploader - Black (DMS51, 25/pack)[/BGCOLOR][/COLOR][/b] - (76 x 102mm)
112|7|Standard Size|67|91|Dragon Shield sleeve size: [b]Standard Size (AT-10201, 50/pack; AT-10001, 100/pack)[/b] - (67 x 91mm)
113|7|Japanese Clear ‘Azokuang'|59|86|Dragon Shield sleeve size: [b]Japanese Clear ‘Azokuang' (AT-10601, 60/pack)[/b] - (59 x 86mm)
114|25|Clear Card Sleeve|80|110|Drawlab sleeve size: [b]Clear Card Sleeve 110mm x 80mm (50/pack)[/b] - (80 x 110mm)
115|8|Mini American - Yellow|41|63|Fantasy Flight sleeve size: [b][BGCOLOR=#FFF100]Mini American - Yellow (FFS01, 50/pack)[/BGCOLOR][/b] - (1-5/8" x 2-1/2" - 41 x 63mm)
116|8|Mini European - Red|44|68|Fantasy Flight sleeve size: [b][BGCOLOR=#C72D00]Mini European - Red (FFS02, 50/pack)[/BGCOLOR][/b] - (1-11/16" x 2-5/8" - 44 x 68mm)
117|8|Standard American - Green|57|89|Fantasy Flight sleeve size: [b][BGCOLOR=#74C73E]Standard American - Green (FFS03, 50/pack)[/BGCOLOR][/b] - (2-1/4" x 3-1/2" - 57 x 89mm)
118|8|Standard European - Purple|59|92|Fantasy Flight sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#7540A6]Standard European - Purple (FFS04, 50/pack)[/BGCOLOR][/COLOR][/b] - (2-5/16" x 3-9/16" - 59 x 92mm)
119|8|Standard Card Game - Gray|63.5|88|Fantasy Flight sleeve size: [b][BGCOLOR=#C6C6BE]Standard Card Game - Gray (FFS05, 50/pack)[/BGCOLOR][/b] - (2-1/2" x 3-1/2" - 63.5 x 88mm)
120|8|Square - Light Blue|70|70|Fantasy Flight sleeve size: [b][BGCOLOR=#0098EA]Square - Light Blue (FFS65, 50/pack)[/BGCOLOR][/b] - (2-11/16" x 2-11/16" - 70 x 70mm)
121|8|Tarot - Orange|70|120|Fantasy Flight sleeve size: [b][BGCOLOR=#FF8200]Tarot - Orange (FFS66, 50/pack)[/BGCOLOR][/b] - (2-3/4" x 4-3/4" - 70 x 120mm)
122|9|Mini American|41|63|Game Plus sleeve size: [b]Mini American (GPS96697, 50/pack)[/b] - (1-5/8" x 2-1/2" - 41 x 63mm)
123|9|Mini European|44|68|Game Plus sleeve size: [b]Mini European (GPS96698, 50/pack)[/b] - (1-11/16" x 2-5/8" - 44 x 68mm)
124|9|Standard American|57|89|Game Plus sleeve size: [b]Standard American (GPS96699, 50/pack)[/b] - (2-1/4" x 3-1/2" - 57 x 89mm)
125|9|Standard European|59|92|Game Plus sleeve size: [b]Standard European (GPS96703, 50/pack)[/b] - (2-5/16" x 3-9/16" - 59 x 92mm)
126|9|Standard Card Game|63.5|88|Game Plus sleeve size: [b]Standard Card Game (GPS96681, 50/pack)[/b] - (2-1/2" x 3-1/2" - 63.5 x 88mm)
127|9|Square|70|70|Game Plus sleeve size: [b]Square (GPS96701, 50/pack)[/b] - (2-11/16" x 2-11/16" - 70 x 70mm)
128|9|Tarot|70|120|Game Plus sleeve size: [b]Tarot (GPS96700, 50/pack)[/b] - (2-3/4" x 4-3/4" - 70 x 120mm)
129|9|Extra Large|80|120|Game Plus sleeve size: [b]Extra Large (GPS96702, 50/pack)[/b] - (3-1/10" x 4-7/10" - 80 x 120mm)
130|26|Mini USA - Yellow: Standard|41|63|Giochix sleeve size: [b][BGCOLOR=#FFF399]Mini USA - Yellow: Standard (GX080, 100/pack)[/BGCOLOR][/b]
131|26|Mini USA - Yellow: Premium|41|63|[b][BGCOLOR=#FFF399]Premium (GX080P, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
132|26|Mini Chimera - Red: Standard|43|65|Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#BB2125]Mini Chimera - Red: Standard (GX081, 100/pack)[/BGCOLOR][/COLOR][/b]
133|26|Mini Chimera - Red: Premium|43|65|[b][COLOR=#FFFFFF][BGCOLOR=#BB2125]Premium (GX081P, 50/pack)[/BGCOLOR][/COLOR][/b] - (43 x 65mm)
134|26|Mini Euro - Light Blue: Standard|45|68|Giochix sleeve size: [b][BGCOLOR=#71B4BC]Mini Euro - Light Blue: Standard (GX082, 100/pack)[/BGCOLOR][/b]
135|26|Mini Euro - Light Blue: Premium|45|68|[b][BGCOLOR=#71B4BC]Premium (GX082P, 50/pack)[/BGCOLOR][/b] - (45 x 68mm)
136|26|Standard American - Purple: Standard|56|87|Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#77559C]Standard American - Purple: Standard (GX083, 100/pack)[/BGCOLOR][/COLOR][/b]
137|26|Standard American - Purple: Premium|56|87|[b][COLOR=#FFFFFF][BGCOLOR=#77559C]Premium (GX083P, 50/pack)[/BGCOLOR][/COLOR][/b] - (56 x 87mm)
138|26|Standard Chimera - Brown: Standard|58|89|Giochix sleeve size: [b][BGCOLOR=#AB6232]Standard Chimera - Brown: Standard (GX084, 100/pack)[/BGCOLOR][/b]
139|26|Standard Chimera - Brown: Premium|58|89|[b][BGCOLOR=#AB6232]Premium (GX084P, 50/pack)[/BGCOLOR][/b] - (58 x 89mm)
140|26|Standard Board Game/CCG - Green: Standard|63.5|88|Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#456837]Standard Board Game/CCG - Green: Standard (GX085, 100/pack)[/BGCOLOR][/COLOR][/b]
141|26|Standard Board Game/CCG - Green: Premium|63.5|88|[b][COLOR=#FFFFFF][BGCOLOR=#456837]Premium (GX085P, 50/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 88mm)
142|26|Tarot - Olive Green: Standard|70|120|Giochix sleeve size: [b][BGCOLOR=#93982F]Tarot - Olive Green: Standard (GX087, 100/pack)[/BGCOLOR][/b]
143|26|Tarot - Olive Green: Premium|70|120|[b][BGCOLOR=#93982F]Premium (GX087P, 50/pack)[/BGCOLOR][/b] - (70 x 120mm)
144|26|Standard Euro - Blue: Standard|59|92|Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#0073B4]Standard Euro - Blue: Standard (GX088, 100/pack)[/BGCOLOR][/COLOR][/b]
145|26|Standard Euro - Blue: Premium|59|92|[b][COLOR=#FFFFFF][BGCOLOR=#0073B4]Premium (GX088P, 50/pack)[/BGCOLOR][/COLOR][/b] - (59 x 92mm)
146|26|Dixit - Olive Green: Standard|80|120|Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#897C4D]Dixit - Olive Green: Standard (GX089, 100/pack)[/BGCOLOR][/COLOR][/b]
147|26|Dixit - Olive Green: Premium|80|120|[b][COLOR=#FFFFFF][BGCOLOR=#897C4D]Premium (GX089P, 50/pack)[/BGCOLOR][/COLOR][/b] - (80 x 120mm)
148|26|Small Square - White: Standard|60|60|Giochix sleeve size: [b][BGCOLOR=#FFFFFF]Small Square - White: Standard (GX085, 100/pack)[/BGCOLOR][/b] - (60 x 60mm)
149|10|Card Game - Gray: Standard|63.5|88|Kaissa sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#77787C]Card Game - Gray: Standard (KA111366, 100/pack)[/BGCOLOR][/COLOR][/b]
150|10|Card Game - Gray: Premium|63.5|88|[b][COLOR=#FFFFFF][BGCOLOR=#77787C]Premium (KA112356, 50/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 88mm)
151|10|Standard USA - Green: Standard|56|87|Kaissa sleeve size: [b][BGCOLOR=#01AC4E]Standard USA - Green: Standard (KA111342, 100/pack)[/BGCOLOR][/b]
152|10|Standard USA - Green: Premium|56|87|[b][BGCOLOR=#01AC4E]Premium (KA112325, 50/pack)[/BGCOLOR][/b] - (56 x 87mm)
153|10|Small Card - Light Blue: Standard|59|86|Kaissa sleeve size: [b][BGCOLOR=#16C2F4]Small Card - Light Blue: Standard (KA112233, 100/pack)[/BGCOLOR][/b]
154|10|Small Card - Light Blue: Premium|59|86|[b][BGCOLOR=#16C2F4]Premium (KA112363, 50/pack)[/BGCOLOR][/b] - (59 x 86mm)
