,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
A Game of Thrones Storm Of Swords,200,57,89,Chimera (Orange),2,,,,,,
A Game of Thrones: The Card Game (Second Edition),234,63,88,Card Game (Green),3,,,,,,
A Handful of Stars,109,63,88,Card Game (Green),2,,,,,,
A la carte : Dessert,16,59,92,Euro Size Card Sleeves,1,,,,,,
A Study in Emerald ( Second Edition),140,63.5,88,Card Game (Green),2,,,,,,
A.D. 30 ,25,63,88,Card Game (Green),1,,,,,,
AARRR!,68,56,87,Standard USA (Purple),1,,,,,,
Abaddon,110,63,82.5,Card Game (Green),2,,,,,,
Abetto ,,45,68,Mini Euro Sleeves,0,,,,,,
Abetto (2010),,45,68,Mini Euro Sleeves,0,,,,,,
Above and Below,94,59,92,Euro Size Card Sleeves,1,,,,,,
Absacker,106,?,?,?,2,,,,,,
Abyss Lord Cards,35,65,100,Magnum Copper,1,,,,,,
AC/DC ,84,65,65,?,1,,,,,,
Ace Detective ( Large cards),136,63,88,Card Game (Green),2,,,,,,
Ace Detective ( small cards),55, (Small Cards),68,Mini Euro Sleeves,1,,,,,,
Ace Detective: Strange Tales (Large Cards),29,63,88,Card Game (Green),1,,,,,,
Ace Detective: Strange Tales (Small cards),13,45,68,Mini Euro Sleeves,1,,,,,,
Ace of Spies,160,63.5,88,Card Game (Green),2,,,,,,
Achaia,103,63,88,Card Game (Green),2,,,,,,
Acquire (1976 version),181,57,88,Chimera (Orange),2,,,,,,
Acquire (2008 version),175,63.5,88,Card Game (Green),2,,,,,,
Acts of Insanity,324,56.77,82.35,Chimera (Orange),4,,,,,,
Ad Astra,216,45,68,Mini Euro Sleeves,3,,,,,,
Addictive Alchemy (Large cards),6,70,110,Magnum Silver,1,,,,,,
Addictive Alchemy (Standard cards),162,63,88,Card Game (Green),2,,,,,,
Adel Verpflichtet,,45,70,Mini Euro (Light Blue) -Almost,0,,,,,,
Adlungland,66,56,87,Standard USA (Purple),1,,,,,,
Adrenaline (Small cards),24,45,68,Mini Euro Sleeves,1,,,,,,
Adrenaline (Standard Cards),21,61.5,103,"""Dwarf King"" French Tarot Sized",1,,,,,,
Advanced Space Crusade,36,29,39,?,1,,,,,,
Adventure Land,110,56,87,Standard USA (Purple),2,,,,,,
Adventure of D,112,63.5,88,Card Game (Green),2,,,,,,
Adventure Time Card Wars: BMO vs. Lady Rainicorn,80,63,88,Card Game (Green),1,,,,,,
Adventure Time Card Wars: Finn vs. Jake,80,63,88,Card Game (Green),1,,,,,,
Adventure Time Card Wars: Fionna vs Cake,80,63,88,Card Game (Green),1,,,,,,
Adventure Time Card Wars: Ice King vs. Marceline,80,63,88,Card Game (Green),1,,,,,,
Adventure Time Card Wars: Lemongrab vs. Gunter,80,63,88,Card Game (Green),1,,,,,,
Adventure Time Card Wars: Princess Bubblegum vs. Lumpy Space Princess ,80,63,88,Card Game (Green),1,,,,,,
Adventure Tours,120,58,89,Euro Size Card Sleeves,2,,,,,,
Adventurer Card Game Portal Expansion,45,64,89,Card Game (Green),1,,,,,,
Adventurer: Card Game,80,64,89,Card Game (Green),1,,,,,,
"Adventurers: The Pyramid of Horus, The",8,57.5,89,Chimera (Orange),1,,,,,,
"Adventurers: The Pyramid of Horus, The",100,41,63,Mini USA (Yellow),1,,,,,,
Adventurers: The Temple of Chac,12,57.5,89,Chimera (Orange),1,,,,,,
Adventurers: The Temple of Chac (other cards),88,41,63,Mini USA (Yellow),1,,,,,,
Aeon's End (Breach Cards),16,?,?,?,1,,,,,,
Aeon's End (Standard Cards),318,63,88,Card Game (Green),4,,,,,,
Aeon's End: Kickstarter Promos,64,63,88,Card Game (Green),1,,,,,,
Aeon's end: The Depths,74,63,88,Card Game (Green),1,,,,,,
Aeroplanes: Aviation Ascendant,46,59,92,Euro Size Card Sleeves,1,,,,,,
Africana,74,57.5,89,Chimera (Orange),1,,,,,,
Age of Conan,165,57,89,Chimera (Orange),2,,,,,,
Age of Craft,172,56,87,Standard USA (Purple),2,,,,,,
Age of Craft Expansion #1: Blueprints and Visitors,65,56,87,Standard USA (Purple),1,,,,,,
Age of Craft Expansion #2: Architecture Alliance,77,56,87,Standard USA (Purple),1,,,,,,
Age of Discovery,50,45,68,Mini Euro Sleeves,1,,,,,,
Age of Discovery,60,56,87,Standard USA (Purple),1,,,,,,
Age of Empires III: The Age of Discovery,16,63.5,88,Card Game (Green),1,,,,,,
Age of Exploration,200,57.5,88.5,Chimera (Orange),2,,,,,,
Age of Gods,10,56,87,Standard USA (Purple),1,,,,,,
Age of Industry (Martin Wallace),66,59,92,Euro Size Card Sleeves,1,,,,,,
Age of Mythology: The Boardgame,216,63.5,88,Card Game (Green),3,,,,,,
Age of Napoleon,57,63.5,88,Card Game (Green),1,,,,,,
Age of Renaissance,64,59,92,Euro Size Card Sleeves,1,,,,,,
Age of the Dinosaurs,16,63.5,88,Card Game (Green),1,,,,,,
Age of War,14,70,70,Small Square,1,,,,,,
Agent Hunter,22,63.5,88,Card Game (Green),1,,,,,,
Agents of SMERSH,290,63.5,88,Card Game (Green),3,,,,,,
Agents of SMERSH,22,43,65,Mini Chimera (Red),1,,,,,,
Agility (Player aid cards),2,90,143,?,1,,,,,,
Agility (Standard Cards),54,63,88,Card Game (Green),1,,,,,,
Agoniste,72,63.5,88,Card Game (Green),1,,,,,,
Agora,45,57.5,88.5,Chimera (Orange),1,,,,,,
Agra,24,59,92,Euro Size Card Sleeves,1,,,,,,
Agricola,360,59,92,Euro Size Card Sleeves,4,,,,,,
Agricola All expansions as of august 2015,743,59,92,Euro Size Card Sleeves,8,,,,,,
Agricola Belgium,120,59,92,Euro Size Card Sleeves,2,,,,,,
Agricola O-Deck,24,59,92,Euro Size Card Sleeves,1,,,,,,
Agricola X-Deck,24,59,92,Euro Size Card Sleeves,1,,,,,,
Agricola Z-Deck,24,59,92,Euro Size Card Sleeves,1,,,,,,
